Narrative,Fakes,Disinfo_cases_en,Date,Countries,Media,Link
Russia needs to protect itself,"Russia needs to protect ""LDPR"" citizens",Russia wants to protect the autonomy of the Donbas and the security of its borders.,10/12/2012,Italy,SNA.IT,https://it.sputniknews.com/20211210/improbabile-una-guerra-russo-ucraina-anche-se-forse-qualcuno-la-vorrebbe-14134230.html
The West controls Ukraine and uses it to its advantage,Ukraine is a puppet of the West in its global game,"Inspired by geopolitical interests, the policy of the West, that is, the United States and the European Union, created a Nazi monster inside Ukraine, the consequences of which could lead us all to disaster. The result of two decades of meddling in Ukraine's foreign policy is not only the risk of civil war and possible secession in that country, but also a nuclear confrontation with Russia.",5/2/2014,Italy,Imola Oggi,
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war","The victims of this veritable civil war (incidentally fought in the name of Europe seen as the only lifeline for Ukraine which is dying in misery, while the loa nomenklatura thrives on the misfortunes of the people) are countless.",21/02/2014,Italy,Secolo d'Italia,https://www.secoloditalia.it/2014/02/ricordi-da-unaltra-kiev-mentre-oggi-la-capitale-ucraina-muore-e-leuropa-tarda-a-svegliarsi/
The West controls Ukraine and uses it to its advantage,Ukrainian coup d'etat (Maidan) in 2014 was supported or organized by the West," ""MADE IN USA"" COUP STRATEGY…the US has invested $5 billion in destabilizing Ukraine.",23/02/2014,Italy,Controinformazione,https://www.controinformazione.info/strategia-del-golpe-made-in-usa/
Maidan in 2014 was a coup d'état,"Maidan was organised or supported by other countries or foreigners, in particular to remove the ruling class close to Russia and replace it with the usual pro-Western puppets","Ukraine, how a 'modern' coup is made ",10/3/2014,Italy,ilfattoquotidiano.it,https://www.ilfattoquotidiano.it/2014/03/10/ucraina-come-si-fa-un-golpe-moderno/907785/
Russia is not an agressor towards Ukraine,Russia did not occupy Crimea. It was a reunification,"Ukrainian Crimea to become Russian. This is the result of the referendum on the peninsula. According to the Electoral Commission, at least 95 percent of voters voted in favor. ",16/03/2014,Germany,deutchlandfunk.de,https://www.deutschlandfunk.de/krim-referendum-95-prozent-stimmen-fuer-russland-beitritt-100.html
Russia is not an agressor towards Ukraine,Russia did not occupy Crimea. It was a reunification,"In Sunday's referendum, 96.6 percent of Crimes, equal to 1.2 million people, voted in favor of reunification with Russia. ",17/3/2014,Italy,avvenire.it,https://www.avvenire.it/mondo/pagine/referendum-crimea-96-per-cento-a-favore-della-Russia
Maidan in 2014 was a coup d'état,Maidan in 2014 was a coup d'état,in Ukraine we have witnessed a real coup d'état,18/03/2014,Italy,Viva.it,http://www.vita.it/it/article/2014/03/18/cosa-e-successo-a-piazza-maidan-la-vera-storia-della-rivolta-ucraina/126393/
Nazis and ultra-nationalists in Ukraine,Neo-fascist/neo-Nazi forces participated in the coup d'état in 2014,Coup in Kyiv: What role do the fascists play?,3/6/2014,Germany,Das Erste,"https://daserste.ndr.de/panorama/archiv/2014/Putsch-in-Kiew-Welche-Rolle-spielen-die-Faschisten,ukraine357.html"
Russia is not involved in MH17 crash; Ukraine shot down the plane ,Russia is not involved in MH17 crash; Ukraine shot down the plane ,US intelligence analysts had already concluded that Flight MH17 was shot down by an air-to-air missile and that the Ukrainian government has something to do with the matter.,19/08/2014,Italy,Controinformazione,https://www.controinformazione.info/gli-accordi-segreti-del-governo-di-kiev-con-la-shell-e-labbattimento-del-volo-mh17-malaysia-airlines/
The West controls Ukraine and uses it to its advantage,The West is fueling the war in Ukraine,That the current ceasefire is only the calm before the actual storm will become clear when the Ukrainian government carries out military restructuring and army exercises of the Ukrainian and American naval fleets take place on the Black Sea.,12/9/2014,Germany,RT.DE,https://de.rt.com/2353/international/nato-und-oligarchen-subventionieren-ukrainische-faschisten/
Russia is not an agressor towards Ukraine,Russia is not involved in the war in Ukraine,"There is talk of a Russian military presence in eastern Ukraine. But photos of evidence of the ""alleged"" Russian invasion of Ukrainian soil are more than questionable.",12/9/2014,Germany,RT.DE,https://de.rt.com/2353/international/nato-und-oligarchen-subventionieren-ukrainische-faschisten/
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war","However, the fact that the armed conflicts in the east of the country are more reminiscent of a civil war than an invasion from neighboring Russia seems irrelevant to the government, which has fallen into a craze for rearmament.",12/9/2014,Germany,RT.DE,https://de.rt.com/2353/international/nato-und-oligarchen-subventionieren-ukrainische-faschisten/
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war","And where initially there was great rejoicing over the victory, the screaming fizzled out when it slowly but surely became clear that the civil war cannot be won overnight.",12/9/2014,Germany,RT.DE,https://de.rt.com/2353/international/nato-und-oligarchen-subventionieren-ukrainische-faschisten/
Russia is not an agressor towards Ukraine,Russia is not involved in the war in Ukraine,"However, the fact that the armed conflicts in the east of the country are more reminiscent of a civil war than an invasion from neighboring Russia seems irrelevant to the government, which has fallen into a craze for rearmament.",13/09/2014,Germany,RT.DE,https://de.rt.com/2353/international/nato-und-oligarchen-subventionieren-ukrainische-faschisten/
Maidan in 2014 was a coup d'état,Nazi coup d'état,"According to strategic considerations, the support for the nationalist coup in Ukraine and the subsequent confrontational policy towards Russia after the secession of Crimea should result in the defense budgets of the EU countries being raised to at least two percent of GDP, with the lion's share going to the Orders would go to the US. ",13/10/2014,Germany,RT.DE,https://de.rt.com/4073/wirtschaft/die-fracking-lobby-und-ihre-rolle-im-ukrainekonflikt/
Russians are discriminated in Ukraine,Pro-European choice means anti-Russian choice in Ukraine,"If pro-European means anti-Russian, nationalist and bellicose, then the Ukrainian people clearly voted for Europe and for peace.",27/10/2014,Germany,RT.DE,https://de.rt.com/4959/international/wahl-in-der-ukraine-proeuropaisch-kriegslusternd/
Russia is not involved in MH17 crash; Ukraine shot down the plane ,Russia is not involved in MH17 crash; Ukraine shot down the plane ,"An international group of reporters revealed that the interim report on the Boeing 777 disaster lacks some data, allegedly deleted to cover up Ukraine’s guilt. ",5/12/2014,Italy,Imolaoggi,https://www.imolaoggi.it/2014/12/05/la-denuncia-dalla-relazione-sul-volo-mh17-mancano-i-dati-che-compromettono-lucraina/
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war","According to the UN, around 4,300 civilians lost their lives during the civil war and more than 10,000 were injured.",12/12/2014,Germany,RT.DE,https://de.rt.com/8062/international/fuer-den-ukrainischen-praesidenten-zaehlen-tote-zivilisten-nicht/
Maidan in 2014 was a coup d'état,"Maidan was organised or supported by other countries or foreigners, in particular to remove the ruling class close to Russia and replace it with the usual pro-Western puppets","The CIA Coup in Ukraine, by Oliver Stone",2/1/2015,Italy,ilblogdellestelle.it,https://www.ilblogdellestelle.it/2015/01/il_colpo_di_sta_1.html
Ukraine is a failed state,Ukraine's economy and political institutions barely function,"No one noticed anything about EU loans, or the IMF, or local reforms. Anyone here can imagine where the money goes, which the population will eventually have to return themselves. Locals have ceased to wonder whether Western financial assistance should ever benefit Ukrainians themselves. The country seems to have fallen into a deep hopelessness trap.",24/01/2015,Germany,RT.DE,https://de.rt.com/10035/international/kiew-die-hoffnung-ist-gestorben/
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war","What is the mood like there, what do the people of Kyiv think about the Maidan movement and the new government, how is the civil war in the east of the country being reported in the Ukrainian capital?",24/01/2015,Germany,RT.DE,https://de.rt.com/10035/international/kiew-die-hoffnung-ist-gestorben/
Maidan in 2014 was a coup d'état,"Maidan was organised or supported by other countries or foreigners, in particular to remove the ruling class close to Russia and replace it with the usual pro-Western puppets","After months of denying any involvement in the Ukraine coup, US President Obama has admitted that the US administration was acting behind the scenes as a puller. ",20/02/2015,Germany,RT.DE,https://de.rt.com/12452/international/die-zentrale-rolle-der-usa-beim-maidan-putsch-in-der-ukraine/
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war","Once the center of coal mining, the Donbass region in eastern Ukraine is now rebuilding after months of civil war.",19/03/2015,Germany,RT.DE,https://de.rt.com/14728/wirtschaft/ganze-industriezweige-in-truemmern-ostukraine-beginnt-muehsamen-wiederaufbau/
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war",The Kyiv financial system has too many vulnerabilities and holes that need to be plugged as the civil war drags on.,23/03/2015,Germany,RT.DE,https://de.rt.com/14928/wirtschaft/ukraine-vor-dem-staatsbankrott-allein-im-maerz-schliessen-6-banken-wegen-zahlungsunfaehigkeit/
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war",The civil war is dragging Ukraine's economy into an unending recession.,23/03/2015,Germany,RT.DE,https://de.rt.com/14928/wirtschaft/ukraine-vor-dem-staatsbankrott-allein-im-maerz-schliessen-6-banken-wegen-zahlungsunfaehigkeit/
Maidan in 2014 was a coup d'état,"Maidan was organised or supported by other countries or foreigners, in particular to remove the ruling class close to Russia and replace it with the usual pro-Western puppets","""An Obama coup in Ukraine"" ",24/03/2015,Italy,ilgiornale.it,https://www.ilgiornale.it/news/politica/ucraina-golpe-targato-obama-1108688.html
Nazis and ultra-nationalists in Ukraine,Nazis/right-wing nationalist government took power after the coup d'état in Kyiv,"When we claim that there are Nazis in power in Kyiv, Europe takes us for liars, but that's the truth.",24/03/2015,Italy,ilgiornale.it,https://www.ilgiornale.it/news/politica/ucraina-golpe-targato-obama-1108688.html
The West controls Ukraine and uses it to its advantage,Ukrainian coup d'etat (Maidan) in 2014 was supported or organized by the West,"In those days we were in complete control of what was happening. Our secret services had infiltrated men among the demonstrators and we had evidence that the square was taking orders from the Americans, that the headquarters of the protest was in the US embassy in Kyiv, which also provided important funding for the revoltx.",24/03/2015,Italy,Ilgiornale,https://www.ilgiornale.it/news/politica/ucraina-golpe-targato-obama-1108688.html
The West controls Ukraine and uses it to its advantage,Ukrainian coup d'etat (Maidan) in 2014 was supported or organized by the West,The US wanted us to return aggressive against Moscow.,24/03/2015,Italy,Ilgiornale,https://www.ilgiornale.it/news/politica/ucraina-golpe-targato-obama-1108688.html
The West controls Ukraine and uses it to its advantage,Ukrainian coup d'etat (Maidan) in 2014 was supported or organized by the West,"On the one hand, occupations of public offices began by demonstrators out of nowhere, on the other an incredible and arrogant interference by the United States in the internal affairs of a sovereign state.",24/03/2015,Italy,Ilgiornale,https://www.ilgiornale.it/news/politica/ucraina-golpe-targato-obama-1108688.html
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war",A year has just passed since the street uprising that resulted in the fall of the Ukrainian government and the civil war that brought the world to the brink of a larger conflict.,24/03/2015,Italy,ilgiornale.it,https://www.ilgiornale.it/news/politica/ucraina-golpe-targato-obama-1108688.html
Russia is not involved in MH17 crash; Ukraine shot down the plane ,Russia is not involved in MH17 crash; Ukraine shot down the plane ,The Malaysia Airlines plane shot down in eastern Ukraine on July 17 was hit by a 9M38M1 Buk-M1 missile which only the armed forces of Kiev have at their disposal.,3/5/2015,Italy,Imolaoggi,https://www.imolaoggi.it/2015/06/03/Russia-volo-mh17-fu-colpito-da-missile-9m38m1-buk-m1-delle-forze-armate-di-kiev/
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war",In Ukraine there is a worsening of the crisis: the government of Kyiv is acting brutally to repress the autonomist and independence forces.,27/05/2015,Italy,Secolo d'Italia,https://www.secoloditalia.it/2014/05/ucraina-affondo-dei-militari-di-kiev-contro-i-separatisti-molti-i-morti-mosca-fermate-il-massacro/
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war","The United States and the European Union have repeatedly accused Moscow of interfering in Ukraine's internal affairs. Russia has always rejected the accusations. Moscow has repeatedly stated that it is not a party to the internal Ukrainian conflict, that it is not involved in the events in the south-east and that it is interested in Ukraine overcoming the political and economic crisis with diplomacy.",25/06/2015,Italy,SNA.IT,https://it.sputniknews.com/20150625/630138.html
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war","At the same time, Moscow has repeatedly called on the West to put pressure on Kyiv to find a peaceful solution in Donbas, where the Ukrainian army carries out a military operation against the inhabitants of the region.",25/06/2015,Italy,SNA.IT,https://it.sputniknews.com/20150625/630138.html
Russia is not an agressor towards Ukraine,Russia is not involved in the war in Ukraine,"The United States and the European Union have repeatedly accused Moscow of interfering in Ukraine's internal affairs. Russia has always rejected the accusations. Moscow has repeatedly stated that it is not a party to the internal Ukrainian conflict, that it is not involved in the events in the south-east and that it is interested in Ukraine overcoming the political and economic crisis with diplomacy.",26/06/2015,Italy,SNA.IT,https://it.sputniknews.com/20150625/630138.html
Ukraine is a failed state,Ukraine's economy and political institutions barely function,"Unlike Greece, in the case of non-EU Ukraine, one point often remains very unclear: how does the EIB control the use of its loan to a government that is clearly no less corrupt than its predecessor?",15/07/2015,Germany,RT.DE,https://de.rt.com/26024/wirtschaft/ukraine-europaeische-investitionsbank-steckt-weitere-400-millionen-in-fass-ohne-boden/
